Fecha,seasonal
2001-01-01,-8.457658711454885
2001-01-02,-8.929483609983551
2001-01-03,-8.32852438877604
2001-01-04,-8.942019315209325
2001-01-05,-9.784124655138292
2001-01-06,-9.407274135097703
2001-01-07,-9.085824173149454
2001-01-08,-9.084420063560415
2001-01-09,-9.451169873301662
2001-01-10,-10.07377806711191
2001-01-11,-11.015406301510694
2001-01-12,-11.447526101104808
2001-01-13,-10.430493122921145
2001-01-14,-9.91555749379887
2001-01-15,-9.843395647020586
2001-01-16,-9.973379538446258
2001-01-17,-9.231846750521346
2001-01-18,-9.399955578527434
2001-01-19,-9.509426849455897
2001-01-20,-9.396561742910999
2001-01-21,-8.71565528679735
2001-01-22,-9.765515192936366
2001-01-23,-10.204177864169242
2001-01-24,-9.155535994559907
2001-01-25,-8.582815294407698
2001-01-26,-8.261330388268684
2001-01-27,-8.883941435960212
2001-01-28,-9.447995152347833
2001-01-29,-9.698257582586288
2001-01-30,-9.256372879389943
2001-01-31,-9.490749020942454
2001-02-01,-9.203665624189535
2001-02-02,-8.836033965133218
2001-02-03,-8.375990459298617
2001-02-04,-8.08380444965884
2001-02-05,-8.793909662748643
2001-02-06,-8.842951900191567
2001-02-07,-8.64837827005458
2001-02-08,-8.151308825610135
2001-02-09,-8.0507753400698
2001-02-10,-8.142072270561934
2001-02-11,-7.625097131038851
2001-02-12,-8.353207925052043
2001-02-13,-8.169926215260057
2001-02-14,-8.152328866198669
2001-02-15,-7.92946826244423
2001-02-16,-7.450875986949555
2001-02-17,-8.14742703971465
2001-02-18,-8.317965979339206
2001-02-19,-8.22399851358578
2001-02-20,-8.428559396386394
2001-02-21,-7.720803054427994
2001-02-22,-8.2186669560008
2001-02-23,-7.514855502423934
2001-02-24,-6.941133660719217
2001-02-25,-7.238576202576142
2001-02-26,-6.852133660719216
2001-02-27,-7.212515066097198
2001-02-28,-6.477170824595422
2001-03-01,-6.99803688243408
2001-03-02,-7.281719657675076
2001-03-03,-7.133668795168735
2001-03-04,-6.339071572946513
2001-03-05,-6.191392919978476
2001-03-06,-6.24481643596021
2001-03-07,-6.041555527791768
2001-03-08,-6.040638036670511
2001-03-09,-5.482429576498008
2001-03-10,-5.161635880404656
2001-03-11,-5.452546966147933
2001-03-12,-5.087381441033779
2001-03-13,-4.9411819864422
2001-03-14,-4.5687439473757365
2001-03-15,-4.616756821551282
2001-03-16,-4.666705641947019
2001-03-17,-4.956731136619774
2001-03-18,-4.491172092987102
2001-03-19,-4.246182557218456
2001-03-20,-4.205067514093138
2001-03-21,-3.998569543519826
2001-03-22,-4.13400136746706
2001-03-23,-4.286251304047477
2001-03-24,-4.393883470460466
2001-03-25,-4.9525731584361115
2001-03-26,-4.713182493798871
2001-03-27,-4.846029842860261
2001-03-28,-4.594794619623327
2001-03-29,-4.435874464879542
2001-03-30,-3.535110068633982
2001-03-31,-3.0840273694964884
2001-04-01,-3.20261932789324
2001-04-02,-3.5225516591971475
2001-04-03,-3.658549629770461
2001-04-04,-3.5526445688876596
2001-04-05,-3.5380376434690906
2001-04-06,-3.246297600343774
2001-04-07,-2.81457423656904
2001-04-08,-2.5208839778171366
2001-04-09,-3.008305527791769
2001-04-10,-3.4239385186593503
2001-04-11,-3.2947305658435204
2001-04-12,-3.205815992023124
2001-04-13,-2.940149008258538
2001-04-14,-2.936141334488877
2001-04-15,-2.7837069737582847
2001-04-16,-2.4822982979591983
2001-04-17,-1.6394763801509786
2001-04-18,-1.4195505176446368
2001-04-19,-1.9157408398161222
2001-04-20,-1.5303752259145498
2001-04-21,-1.2013051472742657
2001-04-22,-1.2322629732509283
2001-04-23,-1.3847565678729459
2001-04-24,-0.9735413218049604
2001-04-25,-0.28302781343357547
2001-04-26,-0.16313042632043528
2001-04-27,-0.046792336518303675
2001-04-28,0.5569718060489207
2001-04-29,0.08199577865166077
2001-04-30,-0.2045841300241386
2001-05-01,-0.9658014055188117
2001-05-02,-1.989320938750673
2001-05-03,-1.3383125039460055
2001-05-04,-0.5303455455492532
2001-05-05,-0.19602832079024704
2001-05-06,-0.3370073923275381
2001-05-07,0.2650304057445074
2001-05-08,0.6619321053893569
2001-05-09,1.026813510767337
2001-05-10,1.155719015587227
2001-05-11,1.660213371244254
2001-05-12,1.8769244950392812
2001-05-13,1.9706660602346133
2001-05-14,2.342801524465968
2001-05-15,2.142102577231061
2001-05-16,2.125916377332532
2001-05-17,2.262493241868301
2001-05-18,2.956655152066171
2001-05-19,3.645430900417261
2001-05-20,3.6812003068099557
2001-05-21,3.2248149059981848
2001-05-22,2.0604333737810356
2001-05-23,1.5267792641919953
2001-05-24,2.0555905275101076
2001-05-25,2.504949038418277
2001-05-26,2.8129376228931604
2001-05-27,3.7204855046790564
2001-05-28,4.489673734004274
2001-05-29,4.2488105300468915
2001-05-30,4.645791884689206
2001-05-31,5.153393038925634
2001-06-01,4.519531864394938
2001-06-02,5.009843825328475
2001-06-03,5.4024564585096
2001-06-04,6.205142848666882
2001-06-05,6.613157879108282
2001-06-06,7.287783132786618
2001-06-07,7.0136448146739845
2001-06-08,5.776291821269621
2001-06-09,5.670869383420814
2001-06-10,5.084670372766323
2001-06-11,5.227792265206709
2001-06-12,6.498448023704934
2001-06-13,6.788200053131619
2001-06-14,6.6953071053893565
2001-06-15,7.045872110462923
2001-06-16,7.706931407773934
2001-06-17,7.649569028271142
2001-06-18,7.1313355173629756
2001-06-19,7.8203489623147755
2001-06-20,8.154191110970281
2001-06-21,8.823158132786617
2001-06-22,9.449327907012897
2001-06-23,9.281653059219899
