Fecha,resid
2001-01-01,
2001-01-02,
2001-01-03,
2001-01-04,
2001-01-05,
2001-01-06,
2001-01-07,
2001-01-08,
2001-01-09,
2001-01-10,
2001-01-11,
2001-01-12,
2001-01-13,
2001-01-14,
2001-01-15,
2001-01-16,
2001-01-17,
2001-01-18,
2001-01-19,
2001-01-20,
2001-01-21,
2001-01-22,
2001-01-23,
2001-01-24,
2001-01-25,
2001-01-26,
2001-01-27,
2001-01-28,
2001-01-29,
2001-01-30,
2001-01-31,
2001-02-01,
2001-02-02,
2001-02-03,
2001-02-04,
2001-02-05,
2001-02-06,
2001-02-07,
2001-02-08,
2001-02-09,
2001-02-10,
2001-02-11,
2001-02-12,
2001-02-13,
2001-02-14,
2001-02-15,
2001-02-16,
2001-02-17,
2001-02-18,
2001-02-19,
2001-02-20,
2001-02-21,
2001-02-22,
2001-02-23,
2001-02-24,
2001-02-25,
2001-02-26,
2001-02-27,
2001-02-28,
2001-03-01,
2001-03-02,
2001-03-03,
2001-03-04,
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,
2001-03-10,
2001-03-11,
2001-03-12,
2001-03-13,
2001-03-14,
2001-03-15,
2001-03-16,
2001-03-17,
2001-03-18,
2001-03-19,
2001-03-20,
2001-03-21,
2001-03-22,
2001-03-23,
2001-03-24,
2001-03-25,
2001-03-26,
2001-03-27,
2001-03-28,
2001-03-29,
2001-03-30,
2001-03-31,
2001-04-01,
2001-04-02,
2001-04-03,
2001-04-04,
2001-04-05,
2001-04-06,
2001-04-07,
2001-04-08,
2001-04-09,
2001-04-10,
2001-04-11,
2001-04-12,
2001-04-13,
2001-04-14,
2001-04-15,
2001-04-16,
2001-04-17,
2001-04-18,
2001-04-19,
2001-04-20,
2001-04-21,
2001-04-22,
2001-04-23,
2001-04-24,
2001-04-25,
2001-04-26,
2001-04-27,
2001-04-28,
2001-04-29,
2001-04-30,
2001-05-01,
2001-05-02,
2001-05-03,
2001-05-04,
2001-05-05,
2001-05-06,
2001-05-07,
2001-05-08,
2001-05-09,
2001-05-10,
2001-05-11,
2001-05-12,
2001-05-13,
2001-05-14,
2001-05-15,
2001-05-16,
2001-05-17,
2001-05-18,
2001-05-19,
2001-05-20,
2001-05-21,
2001-05-22,
2001-05-23,
2001-05-24,
2001-05-25,
2001-05-26,
2001-05-27,
2001-05-28,
2001-05-29,
2001-05-30,
2001-05-31,
2001-06-01,
2001-06-02,
2001-06-03,
2001-06-04,
2001-06-05,
2001-06-06,
2001-06-07,
2001-06-08,
2001-06-09,
2001-06-10,
2001-06-11,
2001-06-12,
2001-06-13,
2001-06-14,
2001-06-15,
2001-06-16,
2001-06-17,
2001-06-18,
2001-06-19,
2001-06-20,
2001-06-21,
2001-06-22,
2001-06-23,
2001-06-24,
2001-06-25,
2001-06-26,
2001-06-27,
2001-06-28,
2001-06-29,
2001-06-30,
2001-07-01,
2001-07-02,3.729282820242835
2001-07-03,3.237428578474031
2001-07-04,-2.9341590807425053
2001-07-05,-5.617928306890063
2001-07-06,-5.405938280454109
2001-07-07,-3.818160732989554
2001-07-08,-2.108479923755665
2001-07-09,-2.344265502142269
2001-07-10,0.4561927677714781
2001-07-11,2.5452379859348433
2001-07-12,1.9142960148541786
2001-07-13,1.123379221348344
2001-07-14,-3.344405342324917
2001-07-15,-3.517508652827207
2001-07-16,-2.7294326127460273
2001-07-17,-2.1456851495293847
2001-07-18,-6.0481553423249235
2001-07-19,-6.116834122132129
2001-07-20,-3.8172372804274097
2001-07-21,-1.613437369214827
2001-07-22,0.7277296779693447
2001-07-23,1.6232452157674153
2001-07-24,-1.1478232773832673
2001-07-25,-1.3118639927561748
2001-07-26,-0.8524201825075686
2001-07-27,-1.9911882570889983
2001-07-28,-1.3879171383675395
2001-07-29,0.0047799062798503655
2001-07-30,-0.45921895216764064
2001-07-31,1.4388339397653898
2001-08-01,0.06310296564057793
2001-08-02,-3.5840304057445103
2001-08-03,-1.3495030084842323
2001-08-04,-0.32776353613517095
2001-08-05,-0.1631933306557194
2001-08-06,0.7346664486441306
2001-08-07,0.5500238814193708
2001-08-08,-1.121553553892653
2001-08-09,-0.058571311376166335
2001-08-10,1.3645630113026748
2001-08-11,1.9207948098820786
2001-08-12,2.1597247946613773
2001-08-13,1.9259203172387505
2001-08-14,1.3665788661986724
2001-08-15,-1.1460529196968103
2001-08-16,-1.674358855769869
2001-08-17,-1.9130396650037635
2001-08-18,-2.6042217426293366
2001-08-19,-2.2184769430352187
2001-08-20,-0.583228211426901
2001-08-21,0.9739290691413398
2001-08-22,1.5910335846157224
2001-08-23,1.9150051726421022
2001-08-24,2.5298801092225176
2001-08-25,0.8078098403234772
2001-08-26,0.30820285148532633
2001-08-27,-0.22242138747966678
2001-08-28,-0.4931082849936139
2001-08-29,-1.5087551647500863
2001-08-30,-1.8408974782965117
2001-08-31,-1.0129558877333444
2001-09-01,-0.5054871535882377
2001-09-02,1.302491727690299
2001-09-03,2.3085353603640684
2001-09-04,3.079142539460978
2001-09-05,1.639610385731908
2001-09-06,-0.26673239711944063
2001-09-07,-0.44908443923004526
2001-09-08,0.23452654504189585
2001-09-09,1.1265450001408333
2001-09-10,0.4072020270307384
2001-09-11,0.2768060351484465
2001-09-12,0.2009713700038498
2001-09-13,1.3416794496588436
2001-09-14,1.9201917530581376
2001-09-15,1.2309413725406273
2001-09-16,1.7531309970966937
2001-09-17,1.0221945435198272
2001-09-18,-1.90191428448626
2001-09-19,-0.4200258395344587
2001-09-20,1.0180648504706147
